,B,I,,,,
,-36.98413,9.924297,,,,
,-36.95971,9.804993,,,,
,-36.93529,9.72433,,,,
,-36.91087,9.663577,,,,
,-36.88645,9.636239,,,,
,-36.86203,9.609329,,,,
,-36.83761,9.567313,,,,
,-36.81319,9.483347,,,,
,-36.78877,9.385626,,,,
,-36.76435,9.314616,,,,
,-36.73993,9.29783,,,,
,-36.71551,9.299059,,,,
,-36.69109,9.297506,,,,
,-36.66667,9.286522,,,,
,-36.64225,9.208152,,,,
,-36.61783,9.143148,,,,
,-36.59341,9.136454,,,,
,-36.56899,9.156699,,,,
,-36.54457,9.1929,,,,
,-36.52015,9.25731,,,,
,-36.49573,9.356663,,,,
,-36.47131,9.474524,,,,
,-36.44689,9.572346,,,,
,-36.42247,9.668998,,,,
,-36.39805,9.805062,,,,
,-36.37363,9.937707,,,,
,-36.34921,10.089,,,,
,-36.32479,10.29208,,,,
,-36.30037,10.51498,,,,
,-36.27595,10.731,,,,
,-36.25153,10.89968,,,,
,-36.22711,10.97357,,,,
,-36.20269,10.99638,,,,
,-36.17827,10.98224,,,,
,-36.15385,10.9036,,,,
,-36.12943,10.7934,,,,
,-36.10501,10.67218,,,,
,-36.08059,10.53562,,,,
,-36.05617,10.41319,,,,
,-36.03175,10.27569,,,,
,-36.00733,10.07464,,,,
,-35.98291,9.91403,,,,
,-35.95849,9.850537,,,,
,-35.93407,9.839153,,,,
,-35.90965,9.799381,,,,
,-35.88523,9.70713,,,,
,-35.86081,9.577124,,,,
,-35.83639,9.428586,,,,
,-35.81197,9.371716,,,,
,-35.78755,9.323075,,,,
,-35.76313,9.308791,,,,
,-35.73871,9.306706,,,,
,-35.71429,9.255573,,,,
,-35.68987,9.164494,,,,
,-35.66545,9.064113,,,,
,-35.64103,8.924551,,,,
,-35.61661,8.731265,,,,
,-35.59219,8.538407,,,,
,-35.56777,8.403337,,,,
,-35.54335,8.369962,,,,
,-35.51893,8.41601,,,,
,-35.49451,8.464739,,,,
,-35.47009,8.529945,,,,
,-35.44567,8.591667,,,,
,-35.42125,8.644707,,,,
,-35.39683,8.684654,,,,
,-35.37241,8.666189,,,,
,-35.34799,8.632674,,,,
,-35.32357,8.635119,,,,
,-35.29915,8.733447,,,,
,-35.27473,8.861473,,,,
,-35.25031,8.972541,,,,
,-35.22589,9.107862,,,,
,-35.20147,9.303833,,,,
,-35.17705,9.500199,,,,
,-35.15263,9.651106,,,,
,-35.12821,9.810795,,,,
,-35.10379,10.04015,,,,
,-35.07937,10.2593,,,,
,-35.05495,10.40096,,,,
,-35.03053,10.45995,,,,
,-35.00611,10.43411,,,,
,-34.98168,10.39208,,,,
,-34.95726,10.41293,,,,
,-34.93284,10.47025,,,,
,-34.90842,10.52808,,,,
,-34.884,10.59208,,,,
,-34.85958,10.65194,,,,
